Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,17148,17196,17039,17159,17159,105750000
2016-01-06,17155,17155,16818,16907,16907,120250000
2016-01-07,16888,16888,16464,16514,16514,176240000
2016-01-08,16519,16652,16315,16346,16346,141850000
2016-01-11,16359,16462,16232,16399,16399,127790000
2016-01-12,16419,16591,16322,16516,16516,117480000
2016-01-13,16527,16594,16123,16151,16151,153530000
2016-01-14,16159,16482,16075,16379,16379,158830000
2016-01-15,16354,16354,15842,15988,15988,239210000
2016-01-19,16009,16172,15900,16016,16016,144360000
2016-01-20,15989,15989,15451,15767,15767,191870000
2016-01-21,15769,16039,15705,15883,15883,145140000
2016-01-22,15921,16137,15921,16094,16094,145850000
2016-01-25,16086,16086,15880,15885,15885,123250000
2016-01-26,15893,16186,15893,16167,16167,118210000
2016-01-27,16169,16235,15878,15944,15944,138350000
2016-01-28,15960,16102,15864,16070,16070,130120000
2016-01-29,16090,16466,16090,16466,16466,217940000
2016-02-01,16454,16511,16299,16449,16449,114450000
2016-02-02,16420,16420,16108,16154,16154,126210000
2016-02-03,16186,16382,15960,16337,16337,141870000
2016-02-04,16330,16486,16266,16417,16417,131490000
2016-02-05,16418,16424,16130,16205,16205,139010000
2016-02-08,16148,16148,15804,16027,16027,165880000
2016-02-09,16005,16137,15881,16014,16014,127740000
2016-02-10,16036,16202,15900,15915,15915,122290000
2016-02-11,15898,15898,15503,15660,15660,172070000
2016-02-12,15692,15974,15692,15974,15974,132550000
2016-02-16,16012,16196,16012,16196,16196,142030000
2016-02-17,16218,16486,16218,16454,16454,124080000
2016-02-18,16484,16512,16390,16413,16413,104950000
2016-02-19,16411,16411,16278,16392,16392,134340000
2016-02-22,16417,16664,16417,16621,16621,102240000
2016-02-23,16610,16610,16404,16432,16432,98170000
2016-02-24,16419,16507,16166,16485,16485,93620000
2016-02-25,16504,16698,16458,16697,16697,94120000
2016-02-26,16713,16796,16624,16640,16640,98480000
2016-02-29,16634,16726,16510,16517,16517,126220000
2016-03-01,16546,16866,16546,16865,16865,105050000
2016-03-02,16851,16900,16766,16899,16899,104470000
2016-03-03,16896,16944,16821,16944,16944,91110000
2016-03-04,16945,17062,16899,17007,17007,106910000
2016-03-07,16991,17099,16940,17074,17074,100290000
2016-03-08,17051,17073,16922,16964,16964,108380000
2016-03-09,16969,17049,16948,17000,17000,116690000
2016-03-10,17006,17130,16822,16995,16995,117570000
2016-03-11,17015,17220,17015,17213,17213,123420000
2016-03-14,17207,17275,17161,17229,17229,96350000
2016-03-15,17217,17252,17120,17252,17252,92830000
2016-03-16,17249,17379,17204,17326,17326,118710000
2016-03-17,17321,17529,17298,17481,17481,117990000
2016-03-18,17481,17621,17481,17602,17602,321230000
2016-03-21,17590,17645,17551,17624,17624,84410000
2016-03-22,17603,17649,17540,17583,17583,95450000
2016-03-23,17589,17589,17486,17503,17503,84240000
2016-03-24,17485,17517,17399,17516,17516,84100000
2016-03-28,17526,17584,17493,17535,17535,70460000
2016-03-29,17513,17643,17434,17633,17633,86160000
2016-03-30,17652,17790,17652,17717,17717,79330000
2016-03-31,17716,17756,17670,17685,17685,102600000
2016-04-01,17662,17811,17568,17793,17793,104890000
2016-04-04,17799,17806,17711,17737,17737,85230000
2016-04-05,17718,17718,17580,17603,17603,115230000
2016-04-06,17605,17724,17543,17716,17716,99410000
2016-04-07,17687,17687,17484,17542,17542,90120000
2016-04-08,17555,17695,17528,17577,17577,79990000
2016-04-11,17586,17732,17556,17556,17556,107100000
2016-04-12,17571,17744,17554,17721,17721,81020000
2016-04-13,17742,17918,17742,17908,17908,91710000
2016-04-14,17912,17962,17885,17926,17926,84510000
2016-04-15,17926,17938,17867,17897,17897,118160000
2016-04-18,17890,18010,17848,18004,18004,89390000
2016-04-19,18012,18103,17984,18054,18054,89820000
2016-04-20,18059,18168,18031,18096,18096,100210000
2016-04-21,18093,18107,17964,17983,17983,102720000
2016-04-22,17985,18027,17910,18004,18004,134120000
2016-04-25,17991,17991,17856,17977,17977,83770000
2016-04-26,17987,18044,17934,17990,17990,92570000
2016-04-27,17996,18085,17920,18042,18042,109090000
2016-04-28,18024,18036,17797,17831,17831,100920000
2016-04-29,17813,17815,17652,17774,17774,136670000
2016-05-02,17784,17912,17774,17891,17891,80100000
2016-05-03,17871,17871,17671,17751,17751,97060000
2016-05-04,17735,17738,17609,17651,17651,95020000
2016-05-05,17664,17736,17616,17661,17661,81530000
2016-05-06,17650,17745,17580,17741,17741,80020000
2016-05-09,17744,17783,17668,17706,17706,85590000
2016-05-10,17727,17935,17727,17928,17928,75790000
2016-05-11,17919,17919,17711,17711,17711,87390000
2016-05-12,17711,17798,17625,17721,17721,88560000
2016-05-13,17711,17735,17512,17535,17535,86640000
2016-05-16,17532,17756,17532,17711,17711,88440000
2016-05-17,17701,17701,17470,17530,17530,103260000
2016-05-18,17501,17636,17418,17527,17527,79120000
2016-05-19,17514,17514,17331,17435,17435,95530000
2016-05-20,17437,17572,17437,17501,17501,111990000
2016-05-23,17507,17551,17480,17493,17493,87790000
2016-05-24,17525,17743,17525,17706,17706,86480000
2016-05-25,17735,17892,17735,17852,17852,79180000
2016-05-26,17860,17889,17804,17828,17828,68940000
2016-05-27,17827,17873,17825,17873,17873,73190000
2016-05-31,17892,17899,17724,17787,17787,147390000
2016-06-01,17755,17809,17665,17790,17790,78530000
2016-06-02,17789,17839,17704,17839,17839,75560000
2016-06-03,17800,17833,17690,17807,17807,82270000
2016-06-06,17826,17950,17823,17920,17920,71870000
2016-06-07,17936,18003,17936,17938,17938,78750000
2016-06-08,17932,18016,17932,18005,18005,71260000
2016-06-09,17970,18005,17916,17985,17985,69690000
2016-06-10,17939,17939,17812,17865,17865,90540000
2016-06-13,17831,17893,17731,17732,17732,101690000
2016-06-14,17711,17734,17596,17675,17675,93740000
2016-06-15,17704,17763,17629,17640,17640,94130000
2016-06-16,17602,17755,17471,17733,17733,91950000
2016-06-17,17733,17733,17603,17675,17675,248680000
2016-06-20,17737,17946,17737,17805,17805,99380000
2016-06-21,17827,17878,17800,17830,17830,85130000
2016-06-22,17833,17920,17770,17781,17781,89440000
2016-06-23,17844,18011,17844,18011,18011,98070000
2016-06-24,17947,17947,17356,17401,17401,239000000
2016-06-27,17355,17355,17063,17140,17140,138740000
2016-06-28,17191,17410,17191,17410,17410,112190000
2016-06-29,17456,17705,17456,17695,17695,106380000
2016-06-30,17713,17931,17712,17930,17930,133030000
2016-07-01,17924,18002,17917,17949,17949,82160000
2016-07-05,17904,17904,17785,17841,17841,103650000
2016-07-06,17807,17927,17713,17919,17919,93000000
2016-07-07,17924,17985,17817,17896,17896,81570000
2016-07-08,17971,18167,17971,18147,18147,93460000
2016-07-11,18162,18284,18162,18227,18227,80880000
2016-07-12,18259,18372,18259,18348,18348,90170000
2016-07-13,18357,18390,18316,18372,18372,80920000
2016-07-14,18414,18538,18414,18506,18506,87050000
2016-07-15,18509,18557,18472,18517,18517,123690000
2016-07-18,18522,18556,18490,18533,18533,75540000
2016-07-19,18503,18563,18495,18559,18559,85840000
2016-07-20,18583,18622,18556,18595,18595,93230000
2016-07-21,18590,18590,18470,18517,18517,86800000
2016-07-22,18524,18571,18492,18571,18571,87710000
2016-07-25,18554,18556,18453,18493,18493,76810000
2016-07-26,18497,18522,18387,18474,18474,85370000
2016-07-27,18473,18542,18431,18472,18472,111370000
2016-07-28,18461,18483,18369,18456,18456,85750000
2016-07-29,18443,18467,18371,18432,18432,111550000
2016-08-01,18435,18467,18356,18405,18405,83470000
2016-08-02,18401,18404,18248,18314,18314,89680000
2016-08-03,18313,18355,18283,18355,18355,78550000
2016-08-04,18351,18398,18325,18352,18352,64500000
2016-08-05,18403,18544,18403,18544,18544,92420000
2016-08-08,18542,18569,18502,18529,18529,71810000
2016-08-09,18538,18585,18508,18533,18533,60090000
2016-08-10,18541,18562,18469,18496,18496,62780000
2016-08-11,18519,18638,18519,18614,18614,71470000
2016-08-12,18596,18606,18536,18576,18576,61580000
2016-08-15,18589,18723,18560,18636,18636,62350000
2016-08-16,18614,18615,18551,18552,18552,67570000
2016-08-17,18537,18582,18469,18574,18574,71000000
2016-08-18,18567,18601,18533,18598,18598,70740000
2016-08-19,18585,18585,18491,18553,18553,93170000
2016-08-22,18536,18571,18467,18529,18529,73450000
2016-08-23,18569,18632,18546,18547,18547,73990000
2016-08-24,18538,18539,18448,18481,18481,72270000
2016-08-25,18471,18498,18431,18448,18448,64480000
2016-08-26,18468,18572,18335,18395,18395,78730000
2016-08-29,18421,18523,18420,18503,18503,64480000
2016-08-30,18491,18514,18409,18454,18454,68920000
2016-08-31,18437,18440,18334,18401,18401,98250000
2016-09-01,18397,18430,18295,18419,18419,74780000
2016-09-02,18466,18545,18439,18492,18492,74350000
2016-09-06,18493,18552,18450,18538,18538,83710000
2016-09-07,18528,18537,18475,18526,18526,67570000
2016-09-08,18487,18506,18447,18480,18480,79060000
2016-09-09,18404,18404,18085,18085,18085,120670000
2016-09-12,18029,18359,17995,18325,18325,103260000
2016-09-13,18263,18263,18028,18067,18067,102830000
2016-09-14,18073,18163,17992,18035,18035,103360000
2016-09-15,18025,18250,18015,18212,18212,99550000
2016-09-16,18217,18217,18070,18124,18124,278510000
2016-09-19,18155,18255,18093,18120,18120,78090000
2016-09-20,18175,18227,18129,18130,18130,72450000
2016-09-21,18165,18307,18122,18294,18294,94090000
2016-09-22,18344,18450,18344,18392,18392,73030000
2016-09-23,18377,18384,18255,18261,18261,87170000
2016-09-26,18218,18218,18083,18095,18095,95510000
2016-09-27,18099,18238,18052,18228,18228,84130000
2016-09-28,18240,18350,18179,18339,18339,97650000
2016-09-29,18323,18366,18092,18143,18143,95880000
2016-09-30,18182,18370,18182,18308,18308,135470000
2016-10-03,18280,18280,18204,18254,18254,68520000
2016-10-04,18268,18314,18116,18168,18168,79710000
2016-10-05,18206,18316,18206,18281,18281,76190000
2016-10-06,18280,18288,18163,18269,18269,78660000
2016-10-07,18295,18320,18149,18240,18240,82680000
2016-10-10,18283,18400,18283,18329,18329,72110000
2016-10-11,18308,18312,18062,18129,18129,88610000
2016-10-12,18133,18194,18082,18144,18144,72230000
2016-10-13,18088,18138,17960,18099,18099,83160000
2016-10-14,18177,18261,18138,18138,18138,87050000
2016-10-17,18136,18162,18063,18086,18086,75960000
2016-10-18,18145,18226,18129,18162,18162,74600000
2016-10-19,18178,18252,18169,18203,18203,88040000
2016-10-20,18162,18249,18129,18162,18162,88830000
2016-10-21,18153,18169,18050,18146,18146,117810000
2016-10-24,18197,18275,18191,18223,18223,88540000
2016-10-25,18207,18242,18152,18169,18169,83190000
2016-10-26,18104,18236,18062,18199,18199,86340000
2016-10-27,18235,18253,18149,18170,18170,83530000
2016-10-28,18194,18257,18095,18161,18161,107850000
2016-10-31,18177,18194,18131,18142,18142,110080000
2016-11-01,18158,18177,17941,18037,18037,101280000
2016-11-02,18018,18044,17932,17960,17960,88610000
2016-11-03,17979,18007,17904,17931,17931,77860000
2016-11-04,17928,17987,17884,17888,17888,97760000
2016-11-07,17995,18263,17995,18260,18260,93450000
2016-11-08,18251,18401,18201,18333,18333,79820000
2016-11-09,18317,18650,18253,18590,18590,173110000
2016-11-10,18603,18874,18603,18808,18808,164390000
2016-11-11,18782,18856,18737,18848,18848,107300000
2016-11-14,18877,18934,18816,18869,18869,112250000
2016-11-15,18858,18925,18806,18923,18923,100660000
2016-11-16,18910,18910,18826,18868,18868,87320000
2016-11-17,18866,18904,18845,18904,18904,89940000
2016-11-18,18905,18916,18854,18868,18868,109880000
2016-11-21,18899,18961,18883,18957,18957,80520000
2016-11-22,18970,19044,18963,19024,19024,85310000
2016-11-23,19016,19084,19000,19083,19083,77880000
2016-11-25,19094,19152,19094,19152,19152,45890000
2016-11-28,19122,19139,19072,19098,19098,88460000
2016-11-29,19064,19144,19062,19122,19122,81510000
2016-11-30,19136,19225,19123,19124,19124,164570000
2016-12-01,19149,19214,19139,19192,19192,108800000
2016-12-02,19161,19196,19141,19170,19170,84920000
2016-12-05,19244,19275,19187,19216,19216,317800000
2016-12-06,19220,19256,19185,19252,19252,284960000
2016-12-07,19242,19558,19230,19550,19550,385200000
2016-12-08,19560,19665,19528,19615,19615,324570000
2016-12-09,19631,19758,19623,19757,19757,334470000
2016-12-12,19770,19825,19748,19796,19796,333660000
2016-12-13,19852,19954,19846,19911,19911,388420000
2016-12-14,19876,19966,19749,19793,19793,408430000
2016-12-15,19812,19951,19812,19852,19852,357350000
2016-12-16,19909,19923,19821,19843,19843,573470000
2016-12-19,19837,19918,19833,19883,19883,302310000
2016-12-20,19921,19988,19920,19975,19975,284080000
2016-12-21,19969,19987,19942,19942,19942,256640000
2016-12-22,19923,19934,19882,19919,19919,258290000
2016-12-23,19909,19934,19899,19934,19934,158260000
2016-12-27,19943,19980,19940,19945,19945,158540000
2016-12-28,19964,19981,19827,19834,19834,188350000
2016-12-29,19835,19878,19789,19820,19820,172040000
2016-12-30,19833,19853,19719,19763,19763,271910000
2017-01-03,19873,19939,19776,19882,19882,339180000
2017-01-04,19891,19956,19879,19942,19942,280010000
2017-01-05,19925,19949,19811,19899,19899,269920000
2017-01-06,19907,20000,19834,19964,19964,277700000
2017-01-09,19931,19944,19887,19887,19887,287510000
2017-01-10,19876,19957,19836,19856,19856,299410000
2017-01-11,19887,19973,19833,19954,19954,336150000
2017-01-12,19926,19929,19770,19891,19891,306290000
2017-01-13,19913,19952,19849,19886,19886,263780000
2017-01-17,19849,19883,19775,19827,19827,341900000
2017-01-18,19823,19828,19739,19805,19805,279760000
2017-01-19,19814,19824,19678,19732,19732,301750000
2017-01-20,19795,19844,19759,19827,19827,435260000
2017-01-23,19795,19834,19732,19800,19800,326690000
2017-01-24,19795,19949,19787,19913,19913,374460000
2017-01-25,19994,20082,19994,20069,20069,372240000
2017-01-26,20076,20126,20068,20101,20101,356730000
2017-01-27,20103,20116,20073,20094,20094,343130000
2017-01-30,20029,20029,19870,19971,19971,317280000
2017-01-31,19913,19918,19785,19864,19864,373750000
2017-02-01,19924,19968,19846,19891,19891,426670000
2017-02-02,19858,19923,19831,19885,19885,347220000
2017-02-03,19964,20081,19964,20071,20071,344220000
2017-02-06,20026,20095,20003,20052,20052,281720000
2017-02-07,20108,20155,20069,20090,20090,279670000
2017-02-08,20049,20068,20015,20054,20054,280410000
2017-02-09,20062,20206,20062,20172,20172,325310000
2017-02-10,20211,20298,20205,20269,20269,312230000
2017-02-13,20339,20441,20323,20412,20412,314620000
2017-02-14,20374,20504,20374,20504,20504,356580000
2017-02-15,20504,20620,20496,20612,20612,384380000
2017-02-16,20627,20640,20557,20620,20620,354120000
2017-02-17,20564,20624,20533,20624,20624,340620000
2017-02-21,20663,20758,20663,20743,20743,336880000
2017-02-22,20715,20782,20692,20776,20776,310530000
2017-02-23,20817,20841,20746,20810,20810,302110000
2017-02-24,20752,20822,20734,20822,20822,292540000
2017-02-27,20809,20851,20775,20837,20837,256540000
2017-02-28,20834,20841,20781,20812,20812,339210000
2017-03-01,20957,21169,20957,21116,21116,392820000
2017-03-02,21129,21129,20997,21003,21003,319910000
2017-03-03,21009,21040,20954,21006,21006,254420000
2017-03-06,20956,20986,20912,20954,20954,266620000
2017-03-07,20935,20971,20901,20925,20925,274630000
2017-03-08,20940,20951,20836,20856,20856,296780000
2017-03-09,20864,20901,20777,20858,20858,275960000
2017-03-10,20919,20940,20828,20903,20903,315430000
2017-03-13,20899,20926,20846,20881,20881,289260000
2017-03-14,20849,20874,20786,20837,20837,246820000
2017-03-15,20875,20977,20860,20950,20950,306590000
2017-03-16,20969,21000,20894,20935,20935,264360000
2017-03-17,20965,20981,20911,20915,20915,535280000
2017-03-20,20916,20955,20886,20906,20906,253610000
2017-03-21,20956,20970,20653,20668,20668,369320000
2017-03-22,20640,20686,20579,20661,20661,325090000
2017-03-23,20645,20758,20619,20657,20657,280050000
2017-03-24,20674,20718,20530,20597,20597,292980000
2017-03-27,20488,20578,20413,20551,20551,269380000
2017-03-28,20542,20736,20520,20702,20702,299670000
2017-03-29,20676,20685,20625,20659,20659,238320000
2017-03-30,20663,20754,20644,20728,20728,270900000
2017-03-31,20700,20723,20661,20663,20663,303770000
2017-04-03,20665,20692,20518,20650,20650,285670000
2017-04-04,20635,20701,20605,20689,20689,237390000
2017-04-05,20745,20888,20640,20648,20648,284980000
2017-04-06,20654,20746,20612,20663,20663,251720000
2017-04-07,20648,20726,20607,20656,20656,219730000
2017-04-10,20668,20750,20615,20658,20658,230480000
2017-04-11,20644,20660,20513,20651,20651,255120000
2017-04-12,20638,20643,20553,20592,20592,267670000
2017-04-13,20562,20612,20453,20453,20453,235810000
2017-04-17,20485,20644,20485,20637,20637,229240000
2017-04-18,20561,20600,20462,20523,20523,263180000
2017-04-19,20504,20547,20380,20404,20404,294790000
2017-04-20,20407,20630,20407,20579,20579,312440000
2017-04-21,20578,20601,20505,20548,20548,369600000
2017-04-24,20724,20792,20724,20764,20764,342400000
2017-04-25,20916,21027,20909,20996,20996,348180000
2017-04-26,21010,21071,20972,20975,20975,328550000
2017-04-27,20991,21006,20936,20981,20981,305690000
2017-04-28,20987,20988,20927,20941,20941,329990000
2017-05-01,20963,20977,20898,20913,20913,288160000
2017-05-02,20941,20961,20904,20950,20950,338810000
2017-05-03,20915,20973,20874,20958,20958,310920000
2017-05-04,20988,20991,20848,20951,20951,274720000
2017-05-05,20929,21007,20905,21007,21007,260960000
2017-05-08,20991,21018,20971,21012,21012,276150000
2017-05-09,21022,21047,20938,20976,20976,273000000
2017-05-10,20958,20976,20884,20943,20943,283340000
2017-05-11,20926,20933,20799,20919,20919,287680000
2017-05-12,20893,20916,20870,20897,20897,288500000
2017-05-15,20924,21001,20924,20982,20982,313170000
2017-05-16,20984,21034,20933,20980,20980,311580000
2017-05-17,20846,20846,20601,20607,20607,423200000
2017-05-18,20580,20759,20553,20663,20663,422590000
2017-05-19,20698,20857,20688,20805,20805,365180000
2017-05-22,20868,20914,20860,20895,20895,276120000
2017-05-23,20909,20961,20896,20938,20938,244950000
2017-05-24,20949,21023,20934,21012,21012,283180000
2017-05-25,21063,21112,21051,21083,21083,268970000
2017-05-26,21070,21093,21050,21080,21080,208000000
2017-05-30,21045,21064,21010,21029,21029,242810000
2017-05-31,21048,21052,20943,21009,21009,371580000
2017-06-01,21031,21144,20994,21144,21144,276730000
2017-06-02,21142,21225,21130,21206,21206,329700000
2017-06-05,21195,21224,21169,21184,21184,269790000
2017-06-06,21145,21180,21118,21136,21136,283550000
2017-06-07,21172,21190,21113,21174,21174,273400000
2017-06-08,21170,21266,21138,21183,21183,330330000
2017-06-09,21209,21305,21159,21272,21272,397200000
2017-06-12,21260,21277,21186,21236,21236,528080000
2017-06-13,21257,21333,21257,21328,21328,323510000
2017-06-14,21343,21392,21294,21375,21375,295090000
2017-06-15,21292,21367,21262,21360,21360,317200000
2017-06-16,21336,21384,21308,21384,21384,603260000
2017-06-19,21445,21529,21436,21529,21529,289400000
2017-06-20,21521,21535,21464,21467,21467,310200000
2017-06-21,21466,21493,21390,21410,21410,292500000
2017-06-22,21408,21456,21395,21397,21397,270680000
2017-06-23,21381,21422,21334,21395,21395,368400000
2017-06-26,21435,21506,21381,21410,21410,241880000
2017-06-27,21411,21441,21311,21311,21311,292170000
2017-06-28,21372,21479,21372,21455,21455,271510000
2017-06-29,21487,21487,21197,21287,21287,336750000
2017-06-30,21349,21426,21325,21350,21350,313260000
2017-07-03,21392,21563,21392,21479,21479,186810000
2017-07-05,21493,21505,21405,21478,21478,273690000
2017-07-06,21424,21433,21305,21320,21320,320450000
2017-07-07,21355,21426,21351,21414,21414,242240000
2017-07-10,21381,21446,21371,21409,21409,270340000
2017-07-11,21410,21442,21279,21409,21409,247570000
2017-07-12,21468,21581,21468,21532,21532,267870000
2017-07-13,21537,21569,21512,21553,21553,232270000
2017-07-14,21533,21682,21522,21638,21638,235590000
2017-07-17,21634,21662,21618,21630,21630,244780000
2017-07-18,21590,21590,21471,21575,21575,251110000
2017-07-19,21569,21641,21566,21641,21641,253040000
2017-07-20,21642,21662,21577,21612,21612,313950000
2017-07-21,21592,21593,21504,21580,21580,362830000
2017-07-24,21578,21578,21496,21513,21513,284080000
2017-07-25,21639,21671,21577,21613,21613,304300000
2017-07-26,21690,21743,21683,21711,21711,278240000
2017-07-27,21717,21798,21688,21797,21797,407320000
2017-07-28,21788,21841,21756,21830,21830,285630000
2017-07-31,21863,21930,21862,21891,21891,307610000
2017-08-01,21961,21991,21941,21964,21964,328410000
2017-08-02,22004,22036,21967,22016,22016,336820000
2017-08-03,22008,22045,21991,22026,22026,278730000
2017-08-04,22058,22093,22025,22093,22093,253640000
2017-08-07,22100,22121,22082,22118,22118,213010000
2017-08-08,22095,22179,22057,22085,22085,262000000
2017-08-09,22022,22057,21997,22049,22049,277800000
2017-08-10,21988,21988,21844,21844,21844,303310000
2017-08-11,21883,21911,21843,21858,21858,237790000
2017-08-14,21946,22019,21946,21994,21994,235030000
2017-08-15,22030,22039,21971,21999,21999,269070000
2017-08-16,22032,22086,22002,22025,22025,264920000
2017-08-17,21985,21985,21750,21751,21751,311030000
2017-08-18,21725,21793,21642,21675,21675,309070000
2017-08-21,21671,21719,21600,21704,21704,277880000
2017-08-22,21740,21913,21738,21900,21900,244980000
2017-08-23,21850,21867,21808,21812,21812,234810000
2017-08-24,21840,21870,21766,21783,21783,228480000
2017-08-25,21819,21907,21813,21814,21814,217570000
2017-08-28,21833,21861,21768,21808,21808,218740000
2017-08-29,21718,21879,21674,21865,21865,227340000
2017-08-30,21860,21914,21839,21892,21892,242840000
2017-08-31,21936,21986,21911,21948,21948,376790000
2017-09-01,21982,22039,21975,21988,21988,256240000
2017-09-05,21912,21921,21710,21753,21753,332840000
2017-09-06,21816,21849,21794,21808,21808,318760000
2017-09-07,21820,21850,21746,21785,21785,333810000
2017-09-08,21764,21847,21731,21798,21798,289400000
2017-09-11,21928,22067,21928,22057,22057,312770000
2017-09-12,22091,22135,22087,22119,22119,364580000
2017-09-13,22103,22158,22096,22158,22158,291890000
2017-09-14,22145,22216,22135,22203,22203,297780000
2017-09-15,22252,22275,22215,22268,22268,527540000
2017-09-18,22298,22356,22283,22331,22331,302740000
2017-09-19,22350,22386,22341,22371,22371,295570000
2017-09-20,22351,22413,22315,22413,22413,334560000
2017-09-21,22414,22420,22357,22359,22359,287390000
2017-09-22,22334,22364,22300,22350,22350,297140000
2017-09-25,22320,22360,22219,22296,22296,332430000
2017-09-26,22322,22369,22280,22284,22284,285990000
2017-09-27,22331,22371,22255,22341,22341,342900000
2017-09-28,22307,22395,22289,22381,22381,263010000
2017-09-29,22358,22406,22333,22405,22405,274790000
2017-10-02,22423,22559,22416,22558,22558,268530000
2017-10-03,22564,22646,22563,22642,22642,238830000
2017-10-04,22646,22686,22633,22662,22662,235730000
2017-10-05,22669,22777,22655,22775,22775,246400000
2017-10-06,22762,22774,22731,22774,22774,221450000
2017-10-09,22780,22803,22739,22761,22761,310770000
2017-10-10,22785,22851,22771,22831,22831,319270000
2017-10-11,22828,22873,22822,22873,22873,316000000
2017-10-12,22855,22885,22821,22841,22841,291790000
2017-10-13,22876,22905,22856,22872,22872,259560000
2017-10-16,22893,22960,22887,22957,22957,247180000
2017-10-17,22952,23002,22948,22997,22997,273090000
2017-10-18,23087,23173,23087,23158,23158,271870000
2017-10-19,23107,23167,23053,23163,23163,350400000
2017-10-20,23205,23329,23202,23329,23329,474380000
2017-10-23,23349,23368,23274,23274,23274,456830000
2017-10-24,23347,23485,23343,23442,23442,406850000
2017-10-25,23431,23452,23251,23329,23329,399560000
2017-10-26,23381,23460,23381,23401,23401,370600000
2017-10-27,23419,23449,23353,23434,23434,518870000
2017-10-30,23406,23429,23328,23349,23349,436900000
2017-10-31,23369,23406,23334,23377,23377,388050000
2017-11-01,23443,23518,23389,23435,23435,361260000
2017-11-02,23463,23531,23351,23516,23516,348040000
2017-11-03,23550,23557,23482,23539,23539,312250000
2017-11-06,23534,23575,23521,23548,23548,325190000
2017-11-07,23574,23602,23484,23557,23557,285080000
2017-11-08,23543,23575,23511,23563,23563,264670000
2017-11-09,23492,23517,23310,23462,23462,305440000
2017-11-10,23433,23452,23393,23422,23422,351280000
2017-11-13,23367,23462,23343,23440,23440,491260000
2017-11-14,23388,23414,23272,23409,23409,561330000
2017-11-15,23335,23345,23243,23271,23271,404300000
2017-11-16,23365,23492,23365,23458,23458,402020000
2017-11-17,23434,23434,23356,23358,23358,386000000
2017-11-20,23371,23457,23361,23430,23430,315330000
2017-11-21,23500,23618,23500,23591,23591,329650000
2017-11-22,23597,23606,23508,23526,23526,268760000
2017-11-24,23553,23599,23552,23558,23558,118610000
2017-11-27,23553,23639,23545,23581,23581,296320000
2017-11-28,23625,23850,23617,23837,23837,319240000
2017-11-29,23883,23960,23873,23941,23941,401410000
2017-11-30,24014,24328,24014,24272,24272,488200000
2017-12-01,24305,24322,23922,24232,24232,417910000
2017-12-04,24424,24534,24288,24290,24290,424250000
2017-12-05,24335,24350,24155,24181,24181,371190000
2017-12-06,24172,24229,24134,24141,24141,312720000
2017-12-07,24117,24263,24101,24211,24211,319060000
2017-12-08,24263,24330,24226,24329,24329,293590000
2017-12-11,24338,24390,24315,24386,24386,300580000
2017-12-12,24453,24553,24444,24505,24505,342220000
2017-12-13,24525,24666,24518,24585,24585,325280000
2017-12-14,24631,24672,24509,24509,24509,314780000
2017-12-15,24586,24689,24584,24652,24652,635740000
2017-12-18,24740,24876,24740,24792,24792,354880000
2017-12-19,24834,24850,24716,24755,24755,335330000
2017-12-20,24838,24852,24697,24727,24727,341790000
2017-12-21,24778,24851,24766,24782,24782,339530000
2017-12-22,24764,24784,24718,24754,24754,255140000
2017-12-26,24716,24778,24708,24746,24746,208290000
2017-12-27,24767,24790,24732,24774,24774,225890000
2017-12-28,24807,24839,24797,24838,24838,200960000
2017-12-29,24850,24872,24719,24719,24719,270760000
2018-01-02,24809,24864,24742,24824,24824,341130000
